,Name,Album,Artist
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina
1,Stay,Stay,Beth De Bacci
2,hate that for you,hate that for you,Skylar Stecker
3,Creep,Creep,ORYL
4,L.A.,ARC 003,Verskotzi
5,House of Cards,House of Cards,Sophia Alexa
6,FUCKLOVE,TAPES,nøvedo
7,High - Slowed + Reverb,High,ORYL
8,Loosing Interest,Passion & Confusion,Timmies
9,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
10,Almost to the Moon,Almost to the Moon,Daisy Gray
11,It's You,YOU,Ali Gatie
12,Heather,Kid Krow,Conan Gray
13,Six Feet Under,Six Feet Under,Billie Eilish
14,Better Now,Better Now,ORYL
15,Jocelyn Flores,17,XXXTENTACION
16,Circles,Hollywood's Bleeding,Post Malone
17,All Alone,All Alone,Sølace
18,Everybody Dies In Their Nightmares,17,XXXTENTACION
19,Best Of You,Best Of You,Charlotte Riley
20,Keep You Close,Keep You Close,ORYL
21,Heartbreak Anniversary,TAKE TIME,Giveon
22,idfc,deadroses,blackbear
23,Praying,Praying,Utkarsh Ambudkar
24,Unhappy Anniversary,Kris James,Kris James
25,Till Forever Falls Apart,Till Forever Falls Apart,Ashe
26,Someone Like You,21,Adele
27,Train Wreck,Back from the Edge,James Arthur
28,bad ones,TOO YOUNG TO BE SAD,Tate McRae
29,Arcade,Small Town Boy (Track By Track),Duncan Laurence
30,Tell Me Goodbye,Tell Me Goodbye,ORYL
31,Disappear,Disappear,Kid Travis
32,r u ok,TOO YOUNG TO BE SAD,Tate McRae
33,Happier,÷ (Deluxe),Ed Sheeran
34,7 Years,Lukas Graham,Lukas Graham
35,slower,slower,Tate McRae
36,drivers license,drivers license,Olivia Rodrigo
37,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber
38,Half A Man,A Place We Knew,Dean Lewis
39,1-800-273-8255,Everybody,Logic
40,Let It Go,Chaos And The Calm,James Bay
41,lovely (with Khalid),lovely (with Khalid),Billie Eilish
42,changes,?,XXXTENTACION
43,"i hate u, i love u (feat. olivia o'brien)",us,Garrett Nash
44,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
45,Kiss You,Kiss You,Steph Devine
46,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
47,Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith
48,You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding
49,High,High,ORYL
50,Be Alright,A Place We Knew,Dean Lewis
51,Can We Kiss Forever?,Can We Kiss Forever?,Kina
52,Say Something,Is There Anybody Out There?,A Great Big World
53,Flowers,Flowers,ILIRA
54,If The World Was Ending,If The World Was Ending,JP Saxe
55,my future,my future,Billie Eilish
56,Nude,In Rainbows,Radiohead
57,At My Worst,The Prelude,Pink Sweat$
58,Fix You,X&Y,Coldplay
59,XO,i think you think too much of me,EDEN
60,Coaster,American Teen,Khalid
61,Not About Angels,Not About Angels,Birdy
62,Let Her Go,All The Little Lights,Passenger
63,Save Your Tears,After Hours,The Weeknd
64,Breathe Me,Colour The Small One,Sia
65,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
66,Let You Down,Perception,NF
67,Say You Won't Let Go,Back from the Edge,James Arthur
68,I Need You,I Need You,ORYL
69,Moonlight,YOU,Ali Gatie
70,You're Beautiful,Back to Bedlam,James Blunt
71,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake
72,Yellow,Parachutes,Coldplay
73,Feel,Escapology,Robbie Williams
74,you broke me first,you broke me first,Tate McRae
75,No Surprises,OK Computer,Radiohead
76,All of Me,Love In The Future (Expanded Edition),John Legend
77,you were good to me (bonus track),love is not dying,Jeremy Zucker
78,Lie,Perception,NF
79,this is how you fall in love,brent ii,Jeremy Zucker
80,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi
81,better off,glisten,Jeremy Zucker
82,If You Want Love,Perception,NF
83,I Fall Apart,Stoney (Deluxe),Post Malone
84,Skinny Love,Birdy,Birdy
85,What I Need,What I Need,ORYL
86,Cold Nights (Acoustic),Cold Nights (Acoustic),Waves Rush In
87,Can I Be Him,Back from the Edge,James Arthur
88,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
89,I'm Not Enough and I'm Sorry,I'm Not Enough and I'm Sorry,Teqkoi
90,Let Me Down Slowly,Narrated For You,Alec Benjamin
91,Waves,A Place We Knew,Dean Lewis
92,You Are The Reason,Only Human (Deluxe),Calum Scott
93,end up,end up,diognardi
94,brooklyn boy,brent ii,Jeremy Zucker
95,One Day,One Day,Tate McRae
96,July,THE END OF EVERYTHING,Noah Cyrus
97,Let Go,Let Go,ORYL
98,All I Want,In A Perfect World (Expanded Edition),Kodaline
99,Fall Apart,Fall Apart,Gidexen
