,Name,Album,Artist
0,abcdefu,abcdefu,GAYLE
1,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI
2,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals
3,Easy On Me,30,Adele
4,Sacrifice,Dawn FM,The Weeknd
5,Enemy (with JID) - from the series Arcane League of Legends,Enemy (with JID) [from the series Arcane League of Legends],Imagine Dragons
6,Cold Heart - PNAU Remix,The Lockdown Sessions,Elton John
7,INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X
8,Shivers,=,Ed Sheeran
9,Do It To It,Do It To It,ACRAZE
10,We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),Lin-Manuel Miranda
11,Pepas,La 167,Farruko
12,Fingers Crossed,Fingers Crossed,Lauren Spencer-Smith
13,Bad Habits,=,Ed Sheeran
14,Out of Time,Dawn FM,The Weeknd
15,Is There Someone Else?,Dawn FM,The Weeknd
16,My Universe,Music Of The Spheres,Coldplay
17,Infinity,Feel Something,Jaymes Young
18,Woman,Planet Her,Doja Cat
19,Gasoline,Dawn FM,The Weeknd
20,How Do I Make You Love Me?,Dawn FM,The Weeknd
21,good 4 u,SOUR,Olivia Rodrigo
22,Less Than Zero,Dawn FM,The Weeknd
23,Kiss Me More (feat. SZA),Planet Her,Doja Cat
24,Ghost,Justice,Justin Bieber
25,Where Are You Now,Where Are You Now,Lost Frequencies
26,Need to Know,Planet Her,Doja Cat
27,Take My Breath,Dawn FM,The Weeknd
28,Blinding Lights,After Hours,The Weeknd
29,MONTERO (Call Me By Your Name),MONTERO,Lil Nas X
30,I Love You So,I Love You So,The Walters
31,love nwantiti (ah ah ah),CKay The First,CKay
32,Surface Pressure,Encanto (Original Motion Picture Soundtrack),Lin-Manuel Miranda
33,Yonaguni,Yonaguni,Bad Bunny
34,THATS WHAT I WANT,MONTERO,Lil Nas X
35,"Here We Go… Again (feat. Tyler, the Creator)",Dawn FM,The Weeknd
36,Best Friends,Dawn FM,The Weeknd
37,One Right Now (with The Weeknd),One Right Now,Post Malone
38,I Heard You’re Married (feat. Lil Wayne),Dawn FM,The Weeknd
39,Sweater Weather,I Love You.,The Neighbourhood
40,The Motto,The Motto,Tiësto
41,Beggin',Chosen,Måneskin
42,Mon Amour - Remix,Mon Amour (Remix),zzoilo
43,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy
44,MONEY,LALISA,LISA
45,Happier Than Ever,Happier Than Ever,Billie Eilish
46,Moth To A Flame (with The Weeknd),Moth To A Flame,Swedish House Mafia
47,traitor,SOUR,Olivia Rodrigo
48,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa
49,Desesperados,VICE VERSA,Rauw Alejandro
